Date,Close/Last,Volume,Open,High,Low
11/29/2024,$41.35,2818168,$44.03,$44.06,$41.0104
11/27/2024,$44.44,2051408,$44.10,$44.88,$43.31
11/26/2024,$43.84,2282961,$42.29,$43.93,$42.22
11/25/2024,$43.42,3308897,$41.76,$43.74,$41.3975
11/22/2024,$40.79,2577487,$38.70,$40.88,$38.68
11/21/2024,$38.69,2346330,$38.63,$38.9789,$38.19
11/20/2024,$38.63,2440804,$38.89,$39.55,$37.96
11/19/2024,$38.50,2510398,$39.34,$39.62,$38.11
11/18/2024,$40.09,3316628,$37.56,$40.19,$37.55
11/15/2024,$37.69,5899565,$40.27,$41.12,$37.41
11/14/2024,$41.20,8456464,$43.49,$45.4531,$41.09
11/13/2024,$40.94,3291888,$40.29,$41.46,$40.07
11/12/2024,$39.91,2169947,$40.00,$40.5495,$39.5375
11/11/2024,$40.54,2892778,$38.01,$40.60,$38.01
11/08/2024,$37.90,2834526,$38.57,$38.735,$37.31
11/07/2024,$38.98,1664048,$39.00,$39.27,$38.53
11/06/2024,$38.84,1971228,$38.78,$39.33,$37.88
11/05/2024,$38.16,1746794,$37.25,$38.41,$37.25
11/04/2024,$37.45,3402987,$36.35,$38.94,$36.315
11/01/2024,$36.25,2628759,$35.80,$36.41,$35.61
10/31/2024,$35.69,2378861,$36.00,$36.15,$35.59
10/30/2024,$35.95,2763338,$36.08,$37.105,$35.77
10/29/2024,$35.85,3071400,$36.83,$37.09,$35.83
10/28/2024,$37.09,2728235,$36.86,$37.82,$36.75
10/25/2024,$36.74,1906132,$37.46,$37.56,$36.6715
10/24/2024,$37.28,2268818,$37.64,$38.148,$36.90
10/23/2024,$37.85,2708135,$38.74,$38.8499,$37.05
10/22/2024,$38.75,2963334,$40.38,$40.5095,$38.74
10/21/2024,$40.98,2578326,$39.83,$41.155,$39.70
10/18/2024,$39.82,1308246,$39.81,$40.46,$39.57
10/17/2024,$39.38,2167786,$38.39,$39.48,$38.243
10/16/2024,$38.62,2687087,$39.93,$39.93,$38.58
10/15/2024,$39.47,4160194,$40.40,$41.42,$39.30
10/14/2024,$39.47,2882026,$37.55,$39.50,$37.40
10/11/2024,$37.53,1772421,$37.10,$37.83,$37.04
10/10/2024,$37.40,2051597,$38.26,$38.36,$37.245
10/09/2024,$38.44,3436980,$39.02,$39.45,$38.01
10/08/2024,$38.85,1833896,$38.70,$39.23,$38.30
10/07/2024,$39.09,2871039,$38.88,$39.92,$38.49
10/04/2024,$38.69,5148909,$39.40,$39.85,$37.05
10/03/2024,$38.89,4860424,$36.90,$39.24,$36.40
10/02/2024,$37.17,2506834,$37.81,$38.32,$37.0775
10/01/2024,$37.78,3043072,$38.50,$38.7343,$37.52
09/30/2024,$38.99,3226381,$41.00,$41.18,$38.89
09/27/2024,$41.38,2784215,$40.83,$42.49,$40.83
09/26/2024,$40.23,2935066,$39.89,$40.90,$39.8814
